PREDICTED    CORRECT      QUESTION
List         List         What are higher education institutions accreditation types 
Complex      Complex      How is commonly called each year of the four years study formula
List         List         What conditions international students have to fulfil to be enrolled by US higher education institutions
List         List         What university admission criteria are required 
List         List         What possible forms of governmental financial aid are provided to students
Definition   Definition   What is a course
List         List         What are the possible academic ranks of a teacher
Definition   Definition   What is the definition of an assistant professor
Definition   Definition   What is the definition of an assistant professor 
Definition   Definition   what is a teacher
List         List         what are the possible academic ranks of a professor
List         List         what are the possible academic ranks of a professor
List         List         What are the possible academic ranks of a teacher
List         List         What characteristics do community college have
List         List         what are the different pizza toppings
List         List         what are the possible toppings for a pizza
List         List         what are the channels of perception in animals
List         List         what are the channels of perception
Definition   Definition   what is a topping of pizza?
List         List         what are the possible pizza toppings ?
List         List         what are the possible perception channels for an animal?
Complex      Complex      Why are universities organized into departments
List         List         What average size and duration have governing board 
List         List         What financial incomes have higher education institutions
List         List         What higher education admission criteria are required 
List         List         What possible forms of governmental financial aid are provided to students
Definition   Definition   What is a typical undergraduate curriculum
Complex      Complex      How is organized the academic year 
Complex      Complex      How are students organized in discussion sessions
List         List         What characteristics do community college have
Definition   Definition   what an a assistant professor
Definition   Definition   what an a assistant professor
Definition   Definition   what an a assistant professor
Definition   Definition   what an a assistant professor
Complex      Complex      how can a teacher be evaluated
Definition   Definition   what is a professor
Definition   Definition   What is the faculty?
Definition   Definition   What is the faculty?
Definition   Definition   What is the faculty?
Definition   Definition   What is the faculty?
List         List         What are the pizza toppings?

